,성별,확진자 수,사망자 수,날짜,날짜_dt
246,여성,14895812,15905.0,2022-12-13,2022-12-13
247,남성,12945189,15223.0,2022-12-13,2022-12-13
248,여성,14848418,15890.0,2022-12-12,2022-12-12
249,남성,12905731,15209.0,2022-12-12,2022-12-12
250,여성,14834568,15872.0,2022-12-11,2022-12-11
251,남성,12893914,15197.0,2022-12-11,2022-12-11
252,여성,14804058,15852.0,2022-12-10,2022-12-10
253,남성,12870105,15177.0,2022-12-10,2022-12-10
254,여성,14769321,15826.0,2022-12-09,2022-12-09
255,남성,12842234,15149.0,2022-12-09,2022-12-09
256,여성,14734365,15794.0,2022-12-08,2022-12-08
257,남성,12814456,15114.0,2022-12-08,2022-12-08
258,여성,14698254,15767.0,2022-12-07,2022-12-07
259,남성,12785314,15080.0,2022-12-07,2022-12-07
260,여성,14656955,15734.0,2022-12-06,2022-12-06
261,남성,12751899,15059.0,2022-12-06,2022-12-06
262,여성,14614993,15724.0,2022-12-05,2022-12-05
263,남성,12716257,15045.0,2022-12-05,2022-12-05
264,여성,14602366,15706.0,2022-12-04,2022-12-04
265,남성,12705724,15023.0,2022-12-04,2022-12-04
266,여성,14576181,15685.0,2022-12-03,2022-12-03
267,남성,12685345,14984.0,2022-12-03,2022-12-03
268,여성,14546798,15666.0,2022-12-02,2022-12-02
269,남성,12662002,14955.0,2022-12-02,2022-12-02
270,여성,14517102,15638.0,2022-12-01,2022-12-01
271,남성,12638711,14930.0,2022-12-01,2022-12-01
272,여성,14484987,15605.0,2022-11-30,2022-11-30
273,남성,12613747,14901.0,2022-11-30,2022-11-30
274,여성,14447400,15581.0,2022-11-29,2022-11-29
275,남성,12583919,14873.0,2022-11-29,2022-11-29
276,여성,14407756,15560.0,2022-11-28,2022-11-28
277,남성,12552087,14853.0,2022-11-28,2022-11-28
278,여성,14395689,15537.0,2022-11-27,2022-11-27
279,남성,12541827,14832.0,2022-11-27,2022-11-27
280,여성,14369626,15516.0,2022-11-26,2022-11-26
281,남성,12520862,14814.0,2022-11-26,2022-11-26
282,여성,14340045,15483.0,2022-11-25,2022-11-25
283,남성,12497795,14795.0,2022-11-25,2022-11-25
284,여성,14309855,15456.0,2022-11-24,2022-11-24
285,남성,12474287,14767.0,2022-11-24,2022-11-24
286,여성,14276716,15426.0,2022-11-23,2022-11-23
287,남성,12448337,14738.0,2022-11-23,2022-11-23
288,여성,14237515,15395.0,2022-11-22,2022-11-22
289,남성,12417214,14716.0,2022-11-22,2022-11-22
290,여성,14196833,15371.0,2022-11-21,2022-11-21
291,남성,12385023,14695.0,2022-11-21,2022-11-21
292,여성,14184296,15350.0,2022-11-20,2022-11-20
293,남성,12374469,14681.0,2022-11-20,2022-11-20
294,여성,14158467,15329.0,2022-11-19,2022-11-19
295,남성,12354287,14661.0,2022-11-19,2022-11-19
296,여성,14130116,15293.0,2022-11-18,2022-11-18
